Time (s),Thrust (lbf),Chamber (°C),Chamber (psi),Feedline (psi),Injector (psi),Ox Tank (psi)
0.37667,-94.53591,25.65019,0.88006,657.6508,667.45287,667.29099
0.38,-101.0414,25.33405,-0.44414,656.1453,666.95106,666.78918
0.38333,-98.4394,26.02959,0.21795,656.47984,665.94737,664.78186
0.38667,-104.9444,25.77665,1.54216,656.98172,666.44924,665.78549
0.39,-104.9444,25.71342,3.69398,657.31626,668.62384,665.95276
0.39333,-102.3424,25.65019,0.38349,656.47984,667.2856,666.95645
0.39667,-110.1484,25.71342,-0.27861,655.14167,667.45287,666.78918
0.4,-102.3424,25.65019,0.05243,656.1453,664.27465,667.62554
0.40333,-107.5464,26.15604,1.70768,657.81808,666.44924,666.78918
0.40667,-91.93391,25.71342,0.38349,657.14899,667.78742,666.62191
0.41,-95.83691,25.65019,0.38349,655.64348,666.61652,666.45464
0.41333,-94.53591,26.09282,1.2111,657.6508,665.44555,665.61822
0.41667,-89.33191,25.71342,0.71453,657.48353,667.62014,665.28367
0.42,-102.3424,25.58696,0.05243,656.81445,668.28929,667.62554
0.42333,-115.35289,25.96633,0.88006,656.1453,664.77647,665.95276
0.42667,-98.4394,26.02959,1.70768,656.98172,666.95106,664.94913
0.43,-101.0414,25.65019,0.38349,657.81808,667.62014,666.62191
0.43333,-104.9444,26.02959,0.88006,655.81076,666.28197,666.45464
0.43667,-104.9444,25.90311,2.20425,656.1453,665.7801,665.78549
0.44,-98.4394,25.77665,-0.11309,658.82177,666.44924,666.62191
0.44333,-93.23491,25.96633,-0.60966,654.9744,667.62014,666.28737
0.44667,-84.12791,25.90311,1.04558,656.98172,664.6092,664.94913
0.45,-98.4394,25.96633,1.37664,657.48353,666.44924,666.45464
0.45333,-101.0414,25.65019,1.54216,657.98535,665.94737,665.95276
0.45667,-102.3424,25.33405,0.88006,656.98172,666.95106,666.78918
0.46,-112.7504,25.83988,1.70768,657.14899,665.44555,665.28367
0.46333,-94.53591,25.65019,0.88006,658.31989,666.61652,665.45094
0.46667,-101.0414,25.33405,0.54901,656.1453,668.28929,666.12003
0.47,-97.13791,25.58696,-0.77518,655.97803,666.78379,666.78918
0.47333,-101.0414,25.58696,0.71453,656.1453,666.11464,665.1164
0.47667,-97.13791,26.09282,1.37664,657.14899,666.44924,665.45094
0.48,-111.4494,25.65019,2.03873,657.48353,666.95106,665.95276
0.48333,-94.53591,25.58696,0.21795,656.31257,666.95106,667.12372
0.48667,-94.53591,26.02959,0.88006,655.64348,665.94737,666.62191
