Time (sec),Time Since Ignition (sec),LC1 Axial Load (lbf),PT1 Combustion Pressure (psi),PT2 Feedline Pressure (psi),PT3 Injector Pressure (psi),PT4 Ox-Tank Pressure (psi)
7910.54,0.54,-75.02042,-0.60966,740.45257,745.23637,742.73262
7910.54333,0.54333,-71.11742,1.70768,741.7908,743.22905,743.56898
7910.54667,0.54667,-73.71942,0.05243,742.12535,744.73455,742.73262
7910.55,0.55,-72.41842,1.2111,741.7908,743.06177,741.39439
7910.55333,0.55333,-75.02042,2.70083,742.79443,744.23274,741.56166
7910.55667,0.55667,-65.91342,-1.60281,743.29631,743.22905,742.39808
7910.56,0.56,-67.21442,1.2111,741.95807,745.73818,741.22712
7910.56333,0.56333,-77.62242,-0.94072,742.79443,746.5746,743.56898
7910.56667,0.56667,-72.41842,0.54901,741.7908,743.22905,742.23081
7910.57,0.57,-90.63291,1.37664,742.29262,744.90182,743.40171
7910.57333,0.57333,-76.32142,1.2111,743.12904,743.89813,742.39808
7910.57667,0.57667,-82.82691,0.21795,742.9617,746.07272,743.23444
7910.58,0.58,-84.12791,-0.44414,741.7908,743.39632,743.73625
7910.58333,0.58333,-72.41842,0.88006,741.7908,743.73086,743.06717
7910.58667,0.58667,-69.81642,0.88006,742.12535,744.56728,743.06717
7910.59,0.59,-72.41842,0.71453,741.7908,743.22905,742.06354
7910.59333,0.59333,-72.41842,2.36977,742.9617,744.06547,743.06717
7910.59667,0.59667,-68.51542,-0.94072,742.9617,742.8945,741.8962
7910.6,0.6,-81.52591,0.38349,742.62716,745.90545,742.39808
7910.60333,0.60333,-65.91342,0.21795,741.95807,742.55996,743.56898
7910.60667,0.60667,-73.71942,0.88006,743.29631,744.40001,742.73262
7910.61,0.61,-81.52591,-0.60966,741.95807,744.73455,743.56898
7910.61333,0.61333,-77.62242,1.54216,742.29262,744.40001,742.23081
7910.61667,0.61667,-77.62242,0.05243,742.62716,744.06547,743.90352
7910.62,0.62,-72.41842,-0.27861,743.63085,744.06547,742.39808
7910.62333,0.62333,-71.11742,0.54901,741.45626,746.24006,743.73625
7910.62667,0.62667,-72.41842,-0.11309,741.28899,742.8945,743.56898
7910.63,0.63,-76.32142,0.71453,743.96539,743.56359,741.39439
7910.63333,0.63333,-68.51542,-0.27861,742.62716,744.56728,743.56898
7910.63667,0.63667,-71.11742,1.70768,741.7908,742.8945,741.56166
7910.64,0.64,-73.71942,-0.11309,743.46358,744.23274,743.06717
7910.64333,0.64333,-67.21442,0.54901,742.29262,744.06547,741.72893
7910.64667,0.64667,-73.71942,1.37664,742.79443,745.0691,741.22712
7910.65,0.65,-73.71942,-0.77518,742.62716,743.22905,744.4054
7910.65333,0.65333,-69.81642,0.38349,742.12535,743.73086,740.89258
7910.65667,0.65667,-78.92342,-0.44414,742.45989,745.40364,742.06354
7910.66,0.66,-82.82691,-0.11309,741.62353,744.56728,743.40171
7910.66333,0.66333,-76.32142,0.88006,744.13267,743.89813,742.23081
7910.66667,0.66667,-78.92342,-0.77518,741.95807,745.90545,742.73262
7910.67,0.67,-77.62242,0.71453,741.7908,743.73086,742.73262
7910.67333,0.67333,-68.51542,0.54901,742.12535,745.0691,744.07086
7910.67667,0.67667,-75.02042,-0.11309,741.45626,743.22905,742.39808
7910.68,0.68,-71.11742,0.38349,742.79443,744.56728,742.39808
7910.68333,0.68333,-64.61242,0.88006,742.79443,744.23274,744.4054
7910.68667,0.68667,-63.31093,0.05243,743.63085,742.72723,742.06354
7910.69,0.69,-71.11742,1.37664,742.9617,745.40364,742.56535
7910.69333,0.69333,-68.51542,0.38349,742.29262,744.56728,745.24176
7910.69667,0.69667,-68.51542,1.2111,742.62716,743.89813,741.8962
7910.7,0.7,-76.32142,-0.11309,742.62716,744.73455,742.8999
7910.70333,0.70333,-76.32142,2.03873,742.29262,743.06177,741.72893
7910.70667,0.70667,-63.31093,-0.11309,743.46358,744.90182,742.56535
7910.71,0.71,-76.32142,-0.94072,740.2853,745.90545,742.39808
7910.71333,0.71333,-81.52591,0.38349,742.45989,743.39632,742.8999
7910.71667,0.71667,-71.11742,0.05243,742.62716,744.90182,743.73625
7910.72,0.72,-72.41842,2.20425,741.62353,742.72723,741.56166
7910.72333,0.72333,-84.12791,2.03873,742.9617,744.40001,743.06717
7910.72667,0.72667,-75.02042,-0.44414,742.29262,744.40001,743.06717
7910.73,0.73,-85.42891,0.54901,742.79443,745.0691,742.8999
7910.73333,0.73333,-88.03091,-1.27176,742.12535,744.40001,744.4054
7910.73667,0.73667,-84.12791,0.54901,742.12535,743.56359,742.06354
7910.74,0.74,-73.71942,1.04558,743.29631,744.40001,742.73262
7910.74333,0.74333,-75.02042,0.38349,741.28899,743.22905,742.23081
7910.74667,0.74667,-69.81642,0.05243,743.12904,743.22905,741.8962
7910.75,0.75,-75.02042,-0.11309,741.45626,745.73818,743.40171
7910.75333,0.75333,-69.81642,1.04558,741.45626,742.55996,744.07086
7910.75667,0.75667,-68.51542,1.37664,743.29631,744.23274,742.73262
7910.76,0.76,-69.81642,0.38349,741.62353,744.40001,743.06717
7910.76333,0.76333,-75.02042,1.54216,742.12535,743.89813,742.06354
7910.76667,0.76667,-59.40792,0.21795,744.13267,745.57091,743.73625
7910.77,0.77,-77.62242,0.05243,741.45626,744.23274,741.8962
7910.77333,0.77333,-69.81642,0.21795,742.9617,744.90182,744.90722
7910.77667,0.77667,-75.02042,1.04558,742.62716,744.56728,741.8962
7910.78,0.78,-88.03091,-0.94072,741.95807,744.40001,742.8999
7910.78333,0.78333,-73.71942,2.03873,742.79443,744.06547,742.23081
7910.78667,0.78667,-60.70893,-1.60281,742.79443,745.57091,742.56535
